,Title,Published_date,Views,Likes,Favourites,Comments,Month
102,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3827,196,0,83,Mar
103,What is the Future of my Comment Leaderboard Project?,2021-02-26,5566,201,0,81,Feb
104,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6674,172,0,51,Feb
105,Why I Quit Data Science,2021-02-12,104492,2342,0,346,Feb
106,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10658,554,0,116,Jan
107,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6990,294,0,126,Jan
108,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9594,299,0,52,Jan
109,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22383,693,0,134,Jan
110,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37302,1136,0,147,Jan
111,What is the #66DaysOfData?,2020-12-26,69601,2317,0,202,Dec
112,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131360,5973,0,488,Dec
113,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10849,396,0,133,Dec
114,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23433,726,0,326,Dec
115,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27583,852,0,160,Nov
116,6 Lessons from #66DaysOfData,2020-11-13,6719,340,0,93,Nov
117,100K Channel Update + AMA Stream!,2020-11-12,2319,127,0,22,Nov
118,Find a Data Science Project With These 3 Techniques,2020-11-06,16701,723,0,106,Nov
119,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26626,667,0,155,Oct
120,git for Data Science Made Simple... (Hopefully),2020-10-23,19238,859,0,92,Oct
121,The PODCAST you might have asked for?,2020-10-19,2111,94,0,44,Oct
122,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6724,448,0,113,Oct
123,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13954,406,0,48,Oct
124,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6721,142,0,62,Oct
125,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11208,557,0,83,Oct
126,Sh*t Data Scientists Say (Parody),2020-10-05,9445,577,0,143,Oct
127,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8611,366,0,93,Oct
128,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7062,289,0,61,Sep
129,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11563,290,0,69,Sep
130,5 Essential Data Science Projects for Your Portfolio,2020-09-26,72378,3098,0,206,Sep
131,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5173,197,0,64,Sep
132,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11439,454,0,58,Sep
133,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7417,250,0,34,Sep
